,Ironhack,le wagon,Stackfuel,Careerfoundry,Code institute,Masterschool,WBS coding school,Codeworks,Digital career institute,neuefische,Spiced academy
Web/Software Development,1,1,1,1,1,2,1,1,1,3,3
Data Analytics,1,1,1,1,1,1,1,,,1,1
UX/UI Design,1,,,2,,,1,,,1,1
Digital Marketing,1,1,,1,,,,,1,,
Data Science (and ML/AI),1,1,1,,,2,2,,,1,1
AI,1,1,,,,,1,,,,
DevOps & Cloud Computing,1,,,,,,,,,,
Cybersecurity,1,,,,,1,,,,1,1
Data Engineering,,1,,,,,,,,1,1
MSc Data Analytics in Apprenticeship ,,1,,,,,,,,,
"MSc Online AI, Tech & Sustainability",,1,,,,,,,,,
MBA Business & AI,,1,,,,,,,,,
Gen AI,,1,,,,,,,,,
Free Courses,,12,1,7,1,,,1,,,
Product Design,,,,1,,,,,,,
Product Management,,,,1,,,,,,1,1
Software Engineering,,,,1,,,1,1,,,
QA Engineer,,,,,,1,,,,,
AI Cybersecurity,,,,,,1,,,,,
eHealth Cybersecurity,,,,,,1,,,,,
IT Support,,,,,,1,,,,1,1
System Administration,,,,,,1,,,1,,
AWS Cloud,,,,,,,,,1,1,1
Python/Java Backend,,,,,,,,,2,1,1
Salesforce Consultant,,,,,,,,,1,,
Digital Accounting,,,,,,,,,1,,
SAP,,,,,,,,,,,
Azure Cloud Computing,,,,,,,,,,1,1
AI Project Management,,,,,,,,,,1,1
IT Project Management,,,,,,,,,,1,
Voice User Interface Design (not with AfA),,,,1,,,,,,,
UI for UX Designers (not with AfA),,,,1,,,,,,,
Frontend Development for Designers (not with AfA),,,,1,,,,,,,
Animation for UI Designers (not with AfA),,,,1,,,,,,,
Python for Web Developers (not with AfA),,,,1,,,,,,,
Cloud Computing for Web Developers (not with AfA),,,,1,,,,,,,
Machine Learning with Python (not with AfA),,,,1,,,,,,,
Data Visualizations with Python (not with AfA),,,,1,,,,,,,
Data Analytics & AI (not with AfA),,,,,1,,,,,,
AI for Business Leaders (not with AfA),,,,,1,,,,,,
Professional Certificate in Data Analytics & AI (not with AfA),,,,,1,,,,,,
AI Engineer,,,,,,1,,,,1,1
Cloud Engineer,,,,,,1,,,,,
Digital Sales,,,,,,,,,1,,
Digital HR,,,,,,,,,1,,
Orientation Course,,,,,,,,,1,,
AI Marketing,,,,,,,,,,1,
