,provider,date,review,source,parsed_date
2818,le wagon,"January 12, 2024","LE WAGON: A HARROWING EXPERIENCE AND A TRUE NIGHTMARE
My journey with Le Wagon has been SO DISAPPOINTING that I feel the OBLIGATION to share my experience to prevent others from falling into the same trap. The SHOCKING news of the CANCELLATION of the bootcamp just five days before its scheduled start, due to only having two participants, marked the beginning of a series of OVERWHELMING problems.
During the registration process, I found myself dealing with MORE THAN SIX INDIVIDUALS, and to make matters worse, I had to REPEAT the application process two or three times. The INEFFICIENCY of their communication system between the branches in Spain and Germany is UNACCEPTABLE and has added an extra layer of FRUSTRATION.
In my struggle to obtain the GOVERNMENT VOUCHER, I faced more obstacles. The agent expressed DOUBTS about the RELIABILITY of Le Wagon, which only HEIGHTENED MY CONCERNS. The POSITIVE REVIEWS on their website do not reveal the DARK REALITY of the issues Le Wagon is facing. The LACK OF PROFESSIONALISM is evident, with people DISAPPEARING overnight, supposedly in ""VACATION MODE."" Additionally, they CHANGED the sales representative repeatedly during my process, causing CONFUSION and DISTRUST.
To add INSULT TO INJURY, the Data Analyst course, which costs a STAGGERING 8500 EUROS, left me QUESTIONING ITS VALUE. After READING and CONTACTING former students, it became apparent that completing the course doesn't necessarily leave you as prepared as you might believe. Moreover, the ACTUAL EMPLOYMENT RATE is not accurately reflected on the website, as the INTERVIEWER candidly revealed that many students either LEAVE the course or pursue it for PERSONAL ENRICHMENT rather than seeking employment in the field.
I made the PAINFUL DECISION not to continue with Le Wagon, losing TIME, MONEY, and even having to CUT SHORT my family vacation to attend this course. In summary, from START TO FINISH, my experience with Le Wagon has been a DISASTER. I cannot RECOMMEND this company to anyone and STRONGLY ADVISE reconsidering any plans to join them. A true NIGHTMARE that I deeply regret having lived through!",trustpilot,
2824,le wagon,"February 05, 2023","Having been a little hesitant to choose the remote web development course, I must say that from day 1 these preconceptions were washed away. The pre-bootcamp course material really helped to get your mindset ready. There were definitely big learning curves throughout the process but I think all bootcamps have this intense experience. The staff were really friendly and inclusive, really making everyone in my large batch (50 of us!) feel comfortable whilst also pushing us to get as much as we could out of the learning environment. By choosing Ruby and Rails, the course is very focussed around full-stack so bear that in mind - all concepts are fundamentals to get a job as a frontend or backend engineer. Would definitely recommend the process.",trustpilot,
2890,Careerfoundry,"February 01, 2025",Do not waste your money with this company.,trustpilot,
2891,Careerfoundry,"February 20, 2025","The course was very intuitive and a really deep dive into technical topic. The team of mentors and tutors was always present and ready to assist you during the process.
I will not give five stars only because some of the content was slightly outdated but other than that, awesome experience",trustpilot,
2894,Careerfoundry,"January 30, 2024","Went through the Digital Marketing course in 2023 and while the costs were covered by the German government, it was ultimately fully a waste of time. I finished it, but it doesn't provide you with anything better than watching a youtube tutorial in the eyes of a potential employer. The field is highly competitive, and unless you can afford to work afterwords for free for years until you build an impressive enough portfolio, save your time and take a different route.",trustpilot,
2898,Careerfoundry,"February 28, 2024","Since joining the school, I have had constant support from my mentor, Luca, and my tutor, Elena. They are constantly working with me; it's like,e 24/7 because if I submit my work on weekends, I get constant replies. I am so happy. I hope I made the best decision to choose my career; I can now start my job because of the knowledge I have gained from them. Everything I needed, I got it. thank you for the knowledge in Tech.",trustpilot,
2899,Careerfoundry,"February 21, 2024","I am halfway through my Product Management course and I am very happy with my experience with Career Foundry. The course material is informative, but digestible, and the exercises allow you to put into practice what you've just learned. The CF team has solve all problems that have arisen quickly and everyone has been very helpful. I like that there is always someone who you can talk to and ask questions. I would recommend this course for anyone wanting to gain knowledge and expertise in a new field quickly.",trustpilot,
2900,Careerfoundry,"January 09, 2024","It was pretty challenging to find a course in a digital marketing field, where one can get enough practice and real-life tasks! During the course one gets super professional and helpful instructors, diverse projects and lots, lots of insights that you will never get by self learning. Beautiful portfolio & executive career advisory are the cherry 🍒 on pie. Thank you, Career Foundry! I really enjoyed this time.
Pros
A very comprehensive course, with no unnecessary theory Instructors are working in real industry and are very professional The school is highly appreciated by recruiters And much more...
Cons
Basically nothing. But the course is not for lazy people, as it's pretty challenging",trustpilot,
2907,Careerfoundry,"January 01, 2023","I'm a total career changer, so it's not always easy for me, but the CareerFoundry team is there to help and advise.
The course material is clearly structured, and with every little achievement, I feel a bit more confident.
The vibrant Slack community is worth its weight in gold!",trustpilot,
2908,Careerfoundry,"February 23, 2022","Although the course is super intense and demanding (and I honestly mean it), I consider it one of the best educational choices I have made. I tried some other UX courses in the past; however, they all missed one thing: STRUCTURE. 
The amount of support you receive in order to succeed is enormous, and I am saying this as a newbie in the field. I appreciate the information and the instructions delivered and the proficiency and friendliness of my tutor, mentor, and the entire CF community. I can honestly recommend it to anybody who wishes to change his professional path.",trustpilot,
2909,Careerfoundry,"February 21, 2022",Terrible experiences German service and Tutors terrible you can find better help in youtube fro free than the help the tutors here give the students terrible tutors not willing to help you complete the task they are very good in the enrolment stage but after you are enrolled you are just a number there nobody at CF will help you don't waste your time here,trustpilot,
2910,Careerfoundry,"February 05, 2022","Hey! I think that sometimes the course could be more practical, with more videos showing how to use some of the tools instead.
The instructors are very nice, their feedback is always helpful in many ways.
And even if the job assistance is good, it could be improved by having more direct contact with the supplier's support team to avoid any miscommunication.",trustpilot,
2911,Careerfoundry,"January 31, 2022","As a student with no background in web development & coding in general, I feel CareerFoundry is the best choice I ever made. The curriculum is very well organised, I was skeptical at first when I knew it was online but when I started the course I felt involved in the course more than ever, there's so much to learn and to practice that you don't feel the time pass by and you just want to finish one task and start another.  
My tutor and mentor are people who you look up to they are always there to help, give advices and guide me through my coding journey. 
The Student advisors are very welcoming and they always keep contact through encouraging emails. 
I encourage anyone who is interested in coding to take Full-Stack Web development course at CareerFoundry you won't regret it!",trustpilot,
